17:13:14 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=18, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Connection reset by peer)
17:13:14 - Cannot send message TRANSACTION of 10 bitcakes to 5 with clock {1=10, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Broken pipe)
17:13:15 - Cannot send message TRANSACTION of 10 bitcakes to 5 with clock {1=28, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Broken pipe)
17:13:15 - Cannot send message TRANSACTION of 10 bitcakes to 2 with clock {1=1, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Broken pipe)
17:13:16 - Cannot send message TRANSACTION of 10 bitcakes to 6 with clock {1=23, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Broken pipe)
17:13:16 - Cannot send message TRANSACTION of 10 bitcakes to 6 with clock {1=29, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Broken pipe)
17:13:16 - Cannot send message TRANSACTION of 10 bitcakes to 3 with clock {1=2, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Broken pipe)
17:13:17 - Cannot send message TRANSACTION of 10 bitcakes to 2 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=20, 0=0} (Broken pipe)
17:13:17 - Cannot send message TRANSACTION of 10 bitcakes to 3 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=9, 0=0} (Broken pipe)
17:13:17 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=18, 0=0} (Connection reset by peer)
17:13:18 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=0, 2=0, 3=0, 4=0, 5=22, 6=0, 0=0} (Broken pipe)
17:13:18 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=0, 2=0, 3=0, 4=0, 5=10, 6=0, 0=0} (Broken pipe)
17:13:21 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Broken pipe)
17:13:40 - Cannot send message TRANSACTION of 10 bitcakes to 2 with clock {1=25, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:40 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=12, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:40 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=12, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:40 - Cannot send message TRANSACTION of 10 bitcakes to 2 with clock {1=7, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:40 - Cannot send message TRANSACTION of 10 bitcakes to 2 with clock {1=25, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:40 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=24, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:40 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:40 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=6, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:40 - Cannot send message TRANSACTION of 10 bitcakes to 6 with clock {1=29, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:40 - Cannot send message TRANSACTION of 10 bitcakes to 3 with clock {1=2, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:40 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=24, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:40 - Cannot send message TRANSACTION of 10 bitcakes to 5 with clock {1=16, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:40 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=15, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:40 - Cannot send message TRANSACTION of 10 bitcakes to 6 with clock {1=17, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 3 with clock {1=0, 2=26, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 6 with clock {1=0, 2=11, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 1 with clock {1=0, 2=7, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 5 with clock {1=0, 2=16, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 1 with clock {1=0, 2=25, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 5 with clock {1=0, 2=22, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 3 with clock {1=0, 2=20, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=0, 2=12, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 1 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=1, 0=0} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=10, 0=0} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 5 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=5, 0=0} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 2 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=8, 0=0} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=0, 2=24, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=4, 0=0} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=12, 0=0} (Operation timed out)
17:13:43 - Cannot send message TRANSACTION of 10 bitcakes to 2 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=26, 0=0} (Operation timed out)
17:13:43 - Cannot send message TRANSACTION of 10 bitcakes to 3 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=21, 0=0} (Operation timed out)
17:13:43 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=16, 0=0} (Operation timed out)
17:13:44 - Cannot send message TRANSACTION of 10 bitcakes to 3 with clock {1=0, 2=0, 3=0, 4=0, 5=15, 6=0, 0=0} (Operation timed out)
17:13:44 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=22, 0=0} (Operation timed out)
17:13:44 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=0, 2=0, 3=0, 4=0, 5=18, 6=0, 0=0} (Operation timed out)
17:13:47 - Cannot send message STOP with clock {1=31, 2=30, 3=1, 4=2, 5=31, 6=23, 0=31} (Connection refused)
