17:13:13 - Cannot send message TRANSACTION of 10 bitcakes to 1 with clock {1=0, 2=0, 3=0, 4=0, 5=19, 6=0, 0=0} (Connection reset by peer)
17:13:15 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=18, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Broken pipe)
17:13:15 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=27, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Broken pipe)
17:13:15 - Cannot send message TRANSACTION of 10 bitcakes to 2 with clock {1=25, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Broken pipe)
17:13:15 - Cannot send message TRANSACTION of 10 bitcakes to 6 with clock {1=17, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Broken pipe)
17:13:15 - Cannot send message TRANSACTION of 10 bitcakes to 2 with clock {1=19, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Broken pipe)
17:13:15 - Cannot send message TRANSACTION of 10 bitcakes to 3 with clock {1=8, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Broken pipe)
17:13:16 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=6, 0=0} (Broken pipe)
17:13:16 - Cannot send message TRANSACTION of 10 bitcakes to 1 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=13, 0=0} (Broken pipe)
17:13:16 - Cannot send message TRANSACTION of 10 bitcakes to 3 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=15, 0=0} (Connection reset by peer)
17:13:16 - Cannot send message TRANSACTION of 10 bitcakes to 2 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=14, 0=0} (Connection reset by peer)
17:13:17 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=27} (Broken pipe)
17:13:17 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=16, 0=0} (Broken pipe)
17:13:17 - Cannot send message TRANSACTION of 10 bitcakes to 2 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=1} (Broken pipe)
17:13:17 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=21} (Broken pipe)
17:13:17 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=18, 0=0} (Broken pipe)
17:13:17 - Cannot send message TRANSACTION of 10 bitcakes to 3 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=9, 0=0} (Broken pipe)
17:13:17 - Cannot send message TRANSACTION of 10 bitcakes to 5 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=28} (Broken pipe)
17:13:19 - Cannot send message TRANSACTION of 10 bitcakes to 5 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=4} (Broken pipe)
17:13:40 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=12, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:40 - Cannot send message TRANSACTION of 10 bitcakes to 6 with clock {1=11, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 6 with clock {1=29, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 1 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=24} (Operation timed out)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 6 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=11} (Operation timed out)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 1 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=12} (Operation timed out)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 6 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=23} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=24, 0=0} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=28, 0=0} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 5 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=23, 0=0} (Operation timed out)
17:13:43 - Cannot send message TRANSACTION of 10 bitcakes to 2 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=1} (Operation timed out)
